0:UNKNOWN:Unknown key code. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>UNKNOWN</h1><h2>Keyevent Overview</h2><p>Unknown key code. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 0</code> and maps to the Android constant <code>KEYCODE_UNKNOWN</code>.</p><h2>Behavior Details</h2><p>Unknown key code This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
1:SOFT_LEFT:Soft Left key; usually the bottom-left software button. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>SOFT_LEFT</h1><h2>Keyevent Overview</h2><p>Soft Left key; usually the bottom-left software button. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 1</code> and maps to the Android constant <code>KEYCODE_SOFT_LEFT</code>.</p><h2>Behavior Details</h2><p>Soft Left key; usually the bottom-left software button This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
2:SOFT_RIGHT:Soft Right key; usually the bottom-right software button. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>SOFT_RIGHT</h1><h2>Keyevent Overview</h2><p>Soft Right key; usually the bottom-right software button. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 2</code> and maps to the Android constant <code>KEYCODE_SOFT_RIGHT</code>.</p><h2>Behavior Details</h2><p>Soft Right key; usually the bottom-right software button This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
3:HOME:Home key; usually returns to the home screen. This is often intercepted by the framework or the system UI on devices that reserve the action.:<h1>HOME</h1><h2>Keyevent Overview</h2><p>Home key; usually returns to the home screen. This is often intercepted by the framework or the system UI on devices that reserve the action.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 3</code> and maps to the Android constant <code>KEYCODE_HOME</code>.</p><h2>Behavior Details</h2><p>Home key; usually returns to the home screen This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
4:BACK:Back key; usually navigates back. This is often intercepted by the framework or the system UI on devices that reserve the action.:<h1>BACK</h1><h2>Keyevent Overview</h2><p>Back key; usually navigates back. This is often intercepted by the framework or the system UI on devices that reserve the action.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 4</code> and maps to the Android constant <code>KEYCODE_BACK</code>.</p><h2>Behavior Details</h2><p>Back key; usually navigates back This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
5:CALL:Call key; usually starts or answers a call. It is mainly used for playback or call-control workflows.:<h1>CALL</h1><h2>Keyevent Overview</h2><p>Call key; usually starts or answers a call. It is mainly used for playback or call-control workflows.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 5</code> and maps to the Android constant <code>KEYCODE_CALL</code>.</p><h2>Behavior Details</h2><p>Call key; usually starts or answers a call This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
6:ENDCALL:End Call key; usually ends a call. It is mainly used for playback or call-control workflows.:<h1>ENDCALL</h1><h2>Keyevent Overview</h2><p>End Call key; usually ends a call. It is mainly used for playback or call-control workflows.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 6</code> and maps to the Android constant <code>KEYCODE_ENDCALL</code>.</p><h2>Behavior Details</h2><p>End Call key; usually ends a call This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
7:0:Number 0 key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>0</h1><h2>Keyevent Overview</h2><p>Number 0 key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 7</code> and maps to the Android constant <code>KEYCODE_0</code>.</p><h2>Behavior Details</h2><p>Number 0 key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
8:1:Number 1 key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>1</h1><h2>Keyevent Overview</h2><p>Number 1 key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 8</code> and maps to the Android constant <code>KEYCODE_1</code>.</p><h2>Behavior Details</h2><p>Number 1 key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
9:2:Number 2 key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>2</h1><h2>Keyevent Overview</h2><p>Number 2 key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 9</code> and maps to the Android constant <code>KEYCODE_2</code>.</p><h2>Behavior Details</h2><p>Number 2 key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
10:3:Number 3 key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>3</h1><h2>Keyevent Overview</h2><p>Number 3 key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 10</code> and maps to the Android constant <code>KEYCODE_3</code>.</p><h2>Behavior Details</h2><p>Number 3 key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
